Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,24,TOR,5,0,20.6,3.0,7.4,.405,0.2,1.6,.125,2.8,5.8,.483,.419,0.6,0.6,1.000,1.8,4.8,6.6,2.0,0.2,0.2,1.6,2.0,6.8
2,Bam Adebayo,C,26,MIA,10,10,34.7,8.4,16.0,.525,0.1,0.2,.500,8.3,15.8,.525,.528,6.1,7.6,.803,2.3,8.2,10.5,3.8,1.4,1.4,2.9,2.3,23.0
3,Ochai Agbaji,SG,23,UTA,11,3,17.2,1.7,4.4,.396,0.9,2.6,.345,0.8,1.7,.474,.500,0.2,0.4,.500,0.8,1.9,2.7,1.0,0.4,0.6,0.6,1.3,4.5
4,Santi Aldama,PF,23,MEM,5,0,21.0,4.6,9.6,.479,1.6,4.0,.400,3.0,5.6,.536,.563,0.8,1.8,.444,0.6,4.0,4.6,1.8,0.4,0.8,1.6,1.2,11.6
5,Nickeil Alexander-Walker,SG,25,MIN,10,2,19.6,1.8,4.7,.383,0.9,2.8,.321,0.9,1.9,.474,.479,0.2,0.6,.333,0.1,1.9,2.0,2.6,0.9,0.8,1.0,1.5,4.7
6,Grayson Allen,SG,28,PHO,10,10,31.4,4.3,9.2,.467,2.7,5.6,.482,1.6,3.6,.444,.614,0.9,0.9,1.000,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2
7,Jarrett Allen,C,25,CLE,5,5,25.0,4.0,6.2,.645,0.0,0.0,,4.0,6.2,.645,.645,4.0,5.2,.769,3.6,3.6,7.2,1.8,0.6,0.6,1.4,2.2,12.0
8,Kyle Anderson,PF,30,MIN,10,0,25.2,3.1,5.6,.554,0.2,1.0,.200,2.9,4.6,.630,.571,1.1,1.8,.611,0.7,3.2,3.9,4.1,1.0,0.7,2.0,1.7,7.5
9,Giannis Antetokounmpo,PF,29,MIL,10,10,32.5,11.0,18.9,.582,0.6,2.4,.250,10.4,16.5,.630,.598,6.9,10.8,.639,2.3,7.3,9.6,3.6,0.9,1.3,4.3,2.9,29.5
10,Thanasis Antetokounmpo,PF,31,MIL,3,0,7.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.3,0.3,0.3,1.3,1.3,0.7
11,Cole Anthony,PG,23,ORL,10,0,24.0,4.0,9.7,.412,1.4,4.1,.341,2.6,5.6,.464,.485,3.8,4.7,.809,0.9,3.2,4.1,2.7,0.7,0.3,2.2,2.2,13.2
12,OG Anunoby,SF,26,TOR,8,8,31.4,6.3,12.3,.510,2.8,7.0,.393,3.5,5.3,.667,.622,1.1,1.9,.600,0.6,3.4,4.0,1.8,1.3,0.6,1.6,2.3,16.4
13,Ryan Arcidiacono,PG,29,NYK,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
14,Deni Avdija,SF,23,WAS,10,10,27.1,5.1,10.2,.500,1.1,3.0,.367,4.0,7.2,.556,.554,1.2,1.6,.750,1.5,4.5,6.0,3.9,1.1,0.3,1.7,2.3,12.5
15,Deandre Ayton,C,25,POR,10,10,32.1,6.0,10.3,.583,0.0,0.0,,6.0,10.3,.583,.583,0.5,0.5,1.000,2.9,9.1,12.0,1.4,1.6,0.9,1.8,2.9,12.5
16,Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
17,Marvin Bagley III,C,24,DET,12,4,19.8,4.3,7.3,.591,0.1,0.4,.200,4.3,6.9,.614,.597,2.7,2.9,.914,1.8,3.5,5.3,1.3,0.0,0.6,1.5,1.8,11.4
18,Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
19,Patrick Baldwin Jr.,SF,21,WAS,2,0,4.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
20,LaMelo Ball,PG,22,CHO,10,10,33.5,7.7,18.4,.418,3.0,8.2,.366,4.7,10.2,.461,.500,3.8,4.5,.844,1.9,3.5,5.4,8.6,1.6,0.3,4.0,4.0,22.2
21,Mo Bamba,C,25,PHI,4,0,2.3,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.5,0.8,0.8,0.5
