PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1629029,1,Luka Doncic,1610612742,DAL,24,882,270,553,0.488,92,243,0.379,152,190,0.8,17,182,199,219,32,12,97,44,784,828,2.26,0.33
203507,2,Giannis Antetokounmpo,1610612749,MIL,25,869,293,474,0.618,10,43,0.233,189,284,0.665,68,206,274,124,36,29,96,72,785,876,1.29,0.38
203954,3,Joel Embiid,1610612755,PHI,22,746,251,470,0.534,24,71,0.338,226,254,0.89,66,191,257,132,25,42,84,60,752,877,1.57,0.3
1628983,4,Shai Gilgeous-Alexander,1610612760,OKC,23,804,258,476,0.542,24,74,0.324,167,183,0.913,21,106,127,148,62,18,47,56,707,781,3.15,1.32
203999,5,Nikola Jokic,1610612743,DEN,26,872,272,503,0.541,30,97,0.309,129,164,0.787,87,236,323,248,31,20,70,67,703,989,3.54,0.44
1628369,6,Jayson Tatum,1610612738,BOS,25,917,237,491,0.483,75,214,0.35,133,168,0.792,20,198,218,103,23,13,77,57,682,673,1.34,0.3
201939,7,Stephen Curry,1610612744,GSW,23,778,206,439,0.469,115,272,0.423,139,148,0.939,14,99,113,97,17,7,76,40,666,582,1.28,0.22
201142,8,Kevin Durant,1610612756,PHX,21,771,221,427,0.518,49,102,0.48,154,175,0.88,6,126,132,118,15,25,71,41,645,637,1.66,0.21
1629027,9,Trae Young,1610612737,ATL,23,825,201,470,0.428,78,206,0.379,164,188,0.872,14,53,67,248,31,4,96,39,644,605,2.58,0.32
1628973,10,Jalen Brunson,1610612752,NYK,25,889,224,472,0.475,77,168,0.458,112,141,0.794,18,79,97,147,29,1,55,56,637,579,2.67,0.53
1630178,11,Tyrese Maxey,1610612755,PHI,24,886,212,457,0.464,76,192,0.396,115,129,0.891,13,81,94,160,21,14,32,43,615,613,5.0,0.66
2544,12,LeBron James,1610612747,LAL,24,810,225,413,0.545,55,137,0.401,100,140,0.714,23,157,180,169,37,16,81,27,605,698,2.09,0.46
202695,13,Kawhi Leonard,1610612746,LAC,25,868,220,428,0.514,60,136,0.441,100,115,0.87,25,123,148,89,39,17,37,38,600,633,2.4,1.05
203081,14,Damian Lillard,1610612749,MIL,24,849,178,413,0.431,75,207,0.362,187,204,0.917,14,95,109,170,25,6,67,40,618,609,2.54,0.37
203076,15,Anthony Davis,1610612747,LAL,24,846,215,395,0.544,6,18,0.333,138,169,0.817,86,214,300,72,27,62,48,64,574,776,1.5,0.56
1630217,16,Desmond Bane,1610612763,MEM,23,797,211,451,0.468,77,203,0.379,74,86,0.86,26,82,108,119,30,16,68,74,573,526,1.75,0.44
1628378,16,Donovan Mitchell,1610612739,CLE,21,758,198,441,0.449,64,183,0.35,113,128,0.883,24,98,122,115,40,8,56,45,573,544,2.05,0.71
201942,18,DeMar DeRozan,1610612741,CHI,25,910,192,432,0.444,25,68,0.368,153,186,0.823,21,68,89,131,24,21,35,56,562,519,3.74,0.69
203944,19,Julius Randle,1610612752,NYK,25,875,203,441,0.46,40,132,0.303,114,154,0.74,53,183,236,133,16,6,83,66,560,590,1.6,0.19
1628398,19,Kyle Kuzma,1610612764,WAS,24,744,219,459,0.477,56,151,0.371,66,85,0.776,21,121,142,106,8,14,58,47,560,513,1.83,0.14
